cartodb_id,the_geom,street,id,lat,lon,instreet_rank
4,0101000020E6100000D333BDC458925DC0FC36C478CD0B4140,virgile,YFqBN0qUaGU7+uEG0wFs7W4gEow=,34.092208,-118.286668,1
19,0101000020E610000055698B6B7C925DC0CAC0012D5D0B4140,lockwood,KhiCw+cIev5Mjhc6wgc7ATa+BIs=,34.088781,-118.288844,3
6,0101000020E61000004A7EC4AF58925DC0D4EE5701BE0B4140,virgile,YwwH7IfO3VPDx+QM/C+eZqh++no=,34.091736,-118.286663,2
16,0101000020E6100000E48409A359925DC0A0C4E74EB00B4140,virgile,4w5qByA+6AI5oBEORbjQ7kaZcaw=,34.091318,-118.286721,3
3,0101000020E61000008D43FD2E6C925DC0B16F2711E10B4140,westmoreland,xToelU2ZCAt0Ejj05yj++dQHYyU=,34.092806,-118.287853,1
20,0101000020E61000007880272D5C925DC02F34D769A40B4140,virgile,r/rEpnbV1GMdHV/i7PCB4wPRh3c=,34.090955,-118.286876,4
2,0101000020E6100000FFCD8B135F925DC05B971AA19F0B4140,santa monica,3/Z7SVuoEemK35lIIKpgWOygBNM=,34.090809,-118.287053,1
11,0101000020E610000064CA87A06A925DC0BB641C23D90B4140,westmoreland,C7jqMuyFZU777IFwIfQ/MKn/LIg=,34.092564,-118.287758,2
8,0101000020E6100000E083D72E6D925DC0FC8EE1B19F0B4140,santa monica,r8+xYX3eAXzyYY8nyL/4Q2zKjaM=,34.090811,-118.287914,2
17,0101000020E6100000E7E26F7B82925DC02B137EA99F0B4140,santa monica,gFY3K8bU3pWc6gBj6N0C8Vj5DNU=,34.09081,-118.289214,3
21,0101000020E61000000B992B836A925DC0C991CEC0C80B4140,westmoreland,Te+haMWI01++CM7wNX4NLB+NRUY=,34.092064,-118.287751,3
1,0101000020E6100000E0BDA3C684925DC0168733BF9A0B4140,north madison,IphKyLkGgBd/Tf7sqKywkkf6Fyo=,34.09066,-118.289354,1
14,0101000020E61000009ECE15A584925DC0E9818FC18A0B4140,north madison,CEAxz7/70c7qbmE5eEhXfLXhCbo=,34.090172,-118.289346,2
5,0101000020E61000006AA164726A925DC0A83AE466B80B4140,westmoreland,vxmiIVGoww7+YlbyeTZA+CEbuUw=,34.091565,-118.287747,4
13,0101000020E610000064EAAEEC82925DC0B821C66B5E0B4140,lockwood,BPi2xjrTjVp/Ywfaw9vTx+ON+Fs=,34.088819,-118.289241,3
9,0101000020E61000004B06802A6E925DC0535C55F65D0B4140,lockwood,iEKQmn5crDDlXpZhMcVKCwi8+iY=,34.088805,-118.287974,1
15,0101000020E610000033C170AE61925DC06C770FD07D0B4140,willow brook,X+qK5m1wCiDjw187iNscr17wTAU=,34.089777,-118.287212,1
10,0101000020E610000011A7936C75925DC02AC93A1C5D0B4140,lockwood,7zwqYoqR2fJ+r/HnYOzUzd4Qo00=,34.088779,-118.288417,2
7,0101000020E6100000C98FF8156B925DC00D6FD6E07D0B4140,willow brook,gFmwXd6cqjGHJEK/C1KrmPUvYlA=,34.089779,-118.287786,2
12,0101000020E6100000E813799274925DC0AE669DF17D0B4140,willow brook,RNJWQJDgmZI2M5v/U0ypb82QgQc=,34.089781,-118.288365,3
18,0101000020E6100000C6A86BED7D925DC0DDEA39E97D0B4140,willow brook,aGPOgG3Nt4qhhy95FBVDf2LQ9z8=,34.08978,-118.288936,4
